,DATE,MOBILE,WEB-SITE,NAME,THEME,CITY,ADRESS,adr_err,ct_err,th_err,name_err,mob_err,web_err,date_err
1,12.01.2022,,someSite_ru,,ThemeName,,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
2,15.10.2030,79501234567,someSite_ru,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
3,15.10.2030,,https://yearofexchange.org/,, ,, ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
4,15.10.2030,8_800,,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
5,,,,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
6,,8_800,someSite_ru,,ThemeName,,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
7,,79501234567,https://yearofexchange.org/,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
8,,,,,ThemeName, ,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
9,,8_800,someSite_ru,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
10,,79501234567,https://yearofexchange.org/,,ThemeName, ,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
11,12.01.2022,8_800,https://yearofexchange.org/,, , , ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
12,12.01.2022,79501234567,,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
13,12.01.2022,,someSite_ru,, , , ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
14,12.01.2022,8_800,https://yearofexchange.org/,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
15,12.01.2022,79501234567,,, , , ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
16,12.01.2022,,someSite_ru,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
17,15.10.2030,79501234567,someSite_ru,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0
18,15.10.2030,,https://yearofexchange.org/,,ThemeName, ,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
19,15.10.2030,8_800,,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0
20,15.10.2030,79501234567,someSite_ru,,ThemeName, ,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
21,15.10.2030,,https://yearofexchange.org/,EventName, ,CityName, ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0
22,15.10.2030,8_800,,,ThemeName, ,Adress,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
23,,79501234567,https://yearofexchange.org/,EventName,ThemeName,CityName,Adress,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1